,title,time,content,classification
10,3月20日、21日开通长椿街至太子峪陵园扫墓专线,03/18 2021,为方便市民前往太子峪陵园祭扫，北京公交集团将于3月20日、21日开通长椿街至太子峪陵园的扫墓专线，线路每日一班，早7时在长椿街（长椿街路口西北角）站发车，售往返票，票价25元/人，刷卡和扫二维码乘车无折扣，各类免票证件乘车无效。出行提示：请广大市民根据市民政部门的要求，提前做好祭扫预约，并根据扫墓专线发车时间，合理安排好出行计划。下一步，公交集团还将陆续开通扫墓专线，敬请广大市民关注北京公交集团官方网站、微博、微信发布的信息。, 节假日
11,943路、936路等5条跨京冀线路恢复全线运营,03/17 2021,根据河北省承德市丰宁满族自治县、兴隆县、滦平县、廊坊市霸州市、香河县的意见，前期受疫情影响停驶的943路（霸州火车站-永定门汽车站）、936路（丰宁客运站-来广营路口西）、810快（富力新城-大郊亭桥东）、858路（滦平客运枢纽站-来广营路口西）、859路（兴隆县汽车客运站-来广营路口西）5条线路，将于3月21日（星期日）首车起恢复全线运营。请广大乘客自觉遵守防疫要求，做好疫情防控工作。, 政府部门调整要求
12,838路、849路等16条跨京冀线路恢复全线运营,03/12 2021,根据河北省廊坊市三河市、固安县、永清县、大厂回族自治县、经济开发区管委会，保定市涿州市、高碑店市、涞水县，张家口市怀来县的意见，前期受疫情影响采取区间运营措施的：805路（廊坊-通州北苑路口西）、826路（采四小区-地铁荣昌东街站）、849路（永定门汽车站-固安西站）、838路（涿州开发区-六里桥南）、917快（欧美亚汽车城-北京西站南广场）、880路（沙城客运站-地铁朱辛庄站）；采取暂停运营措施的：805快（廊坊-北京站东）、816路（大厂-郎家园）、819路（诸葛店-地铁潞城站）、828路（永定门汽车站-浙商新城）、894（夏威夷蓝湾小区-地铁潞城站）、910路（潮白河孔雀城-土桥村）、燕郊专线（燕郊总站-八王坟东）、固安专线（固安南站-地铁天宫院站）、城际高碑店（高碑店-六里桥东公交场站）、880快（沙城客运站-地铁回龙观站），自3月15日（周一）首班车起恢复全线运营。请广大乘客自觉遵守防疫要求，做好疫情防控工作。, 政府部门调整要求
13,3月20日首车起 以下线路增设中途站位、调整营业时间,03/12 2021,"
为方便乘客出行，自2021年3月20日首车起,以下线路增设中途站位、调整营业时间：








1.829路：双向增设“槐新公园”站。



2.969路：双向增设“康庄路西口”站。
3.F29路：燕山二一八公交场站首车时间由6:15提前至6:00，郑庄末车时间由18:10延长至18:40。



", 优化调整
14,3月15日首车起 以下线路调整中途站位、营业时间,03/08 2021,为方便乘客出行，自2021年3月15日首车起，以下线路调整中途站位、营业时间：1．869路：“地铁善各庄站”调整至创远路，方便乘客就近换乘地铁14号线。其中下车站邻近地铁善各庄站A口，上车站邻近地铁善各庄站B口。2．915路：开往东直门外方向增设“喇苏营北”站。3．916路：双向增设“东郊农场”站。4．942路：双向增设“顺义古城东大街”站。5．H59路：双向“永乐庄路口”站移至路口东侧“永乐大街西口”站，与H41路并站。原“京密北二街”站更名为“兴科南一街”，原“京密北四街”站更名为“兴科北一街”。6．H62路：10月26日至5月25日首车时间由6:30提前至6:00，末车时间由21:30延长至21:40，5月26日至10月25日营业时间不变。7．H66路：原“京密北四街”站更名为“兴科北一街”，原“京密北二街”站更名为“北房西桥北”。, 优化调整
15,3月13日首车起 延长808路、809路营业时间,03/08 2021,为方便乘客出行，结合乘客意见建议，自2021年3月13日首车起，延长808路、809路营业时间，具体如下：1．808路：调整后营业时间：佰富苑5:00-20:30；大北窑南6:05-21:35。2．809路：调整后营业时间：佰富苑5:00-20:10；大北窑南6:10-21:20。, 优化调整
16,3月6日增站通告,02/26 2021,为方便乘客出行，结合乘客意见建议，自2021年3月6日首车起，部分线路增设中途站位，具体如下：1．807路：双向增设“西小马庄园”站；开往大北窑南方向增设“八里桥”站。土桥公交场站首车时间由5:25提前至5:20。2．924路：双向增设“西小马庄园”“窑坡”站。3．986路：开往方庄桥东方向增设“十里河桥南”站。4．X105路：双向增设“金地仰山西区”站。, 优化调整
17,3月5日首车起 部分线路调整站位及营业时间,02/26 2021,为方便乘客出行，结合乘客意见建议，自2021年3月5日首车起，部分线路调整中途路由、站位、营业时间，具体如下：1．51路：开往双龙小区方向增设“潘家园路西口”站；开往嘉园三里方向增设“洋桥南”站。2．72路：双向增设“天桥路口东”站。3．77路：开往晓月苑小区方向增设“花园桥东”“正阳桥北”站。4．309路：开往北京西站南广场方向“太子峪北”站更名为“太子峪村”；开往太子峪陵园方向增设“太子峪村”站。5．323路：开往富丰桥西方向“知春里东站”站西移约150米。6．349路：开往北京西站南广场方向中途改行西安街、东安街头条、东安街，增设“东安街头条”站；开往丰台西站方向增设“正阳桥北”站。7．381路：开往西红门公交场站方向增设“九龙家园”站。8．395路：富丰桥西末车时间由21:00延长至21:30。9．676路：开往长椿街路口西方向增设“天宁寺桥东”“西便门”站。10．专190路：平日早、晚高峰首车时间均提前40分钟，节假日营业时间不变。调整后营业时间为：地铁新宫站平日5:50-9:10、15:50-19:10，节假日7:30-10:10、15:30-18:10；地铁丰台科技园站平日6:30-9:55、16:30-19:50，节假日8:10-10:50、16:10-18:50。11．夜7路：开往平乐园北方向“四合庄”站调整至路口北侧，与69路并站。, 优化调整
18,2月26日首车起 部分线路增设中途站位,02/20 2021,为方便乘客出行，结合乘客意见建议，自2021年2月26日首车起，部分线路增设中途站位，具体如下：1．40路：双向增设“北京世纪坛医院”站。2．335路：开往地铁海淀五路居站方向增设“公主坟西”（西行）站。3．360快：开往香泉环岛方向增设“四海桥北”站。4．398路：双向增设“成府路口西”站。5．509路：开往地铁西二旗站方向增设“中央党校东站”站。6．575路：双向增设“永丰路南口”站。7．584路：双向增设“四通桥东”站。8．664路：双向增设“海淀公园”站。9．专148路：开往田顺庄方向增设“金顶南路”站。, 优化调整
19,2月22日首班车 811路、812路等8条跨京冀线路恢复全线运营,02/19 2021,根据河北省廊坊市三河市、香河县的意见，因疫情影响的线路将有序恢复运营。前期采取暂停运营措施的811路（燕郊冶金一局-通州北苑路口东）、812路（燕郊冶金一局-八王坟西）、814路（上上城五期-大北窑南）、815快（诸葛店-郎家园）、882路（上上城五期-来广营路口西）、810路（香河总站-通州西站）、938快（香河总站-北京站东）、香汐通勤（安平香汐花园-郎家园），自2月22日（周一）首班车起恢复全线运营。, 政府部门调整要求
