,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
15路,上行,天桥商场站,福长街站,友谊医院西站,永安路站,虎坊桥路口南站,琉璃厂站,和平门外站,宣武门东站,长椿街路口北站,民族文化宫站,复兴门内站,礼士路南口站,北京儿童医院西门站,月坛公园站,月坛北街站,展览路口南站,百万庄东口站,二里沟东口站,北京展览馆站,动物园枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15路,下行,动物园枢纽站,北京展览馆站,二里沟东口站,百万庄东口站,展览路口北站,月坛北街北站,月坛北街站,月坛公园站,北京儿童医院西门站,礼士路南口站,真武庙二条站,南礼士路站,复兴门内站,民族文化宫站,西单路口南站,宣武门东站,和平门外站,琉璃厂站,虎坊桥路口南站,永安路站,友谊医院西站,友谊医院站,南纬路站,天桥商场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16路,上行,动物园枢纽站,西直门外站,地铁西直门站,北下关站,北京交通大学站,大柳树南站,大柳树北站,皂君庙站,皂君庙东站,明光村西站,明光村站,明光桥东站,北京师范大学南门站,铁狮子坟站,北太平桥北站,牡丹园站,牡丹园北站,志新桥南站,志新桥北站,志新北里站,二里庄南口站,二里庄站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16路,下行,二里庄站,二里庄南口站,志新北里站,志新桥北站,志新桥南站,牡丹园北站,牡丹园站,北太平桥西站,蓟门桥东站,蓟门桥南站,明光桥北站,明光村站,明光村西站,皂君庙东站,皂君庙站,大柳树北站,大柳树南站,北京交通大学站,北下关站,地铁西直门站,西直门外站,动物园枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17路,上行,前门站,珠市口南站,天桥站,天坛西门站,先农坛站,永定门内站,沙子口站,木樨园桥北站,木樨园桥东站,赵公口桥西站,刘家窑桥西站,刘家窑桥东站,顺四条站,宋家庄站,地铁宋家庄站,双庙站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17路,下行,双庙站,地铁宋家庄站,宋家庄站,顺四条站,刘家窑桥东站,刘家窑桥西站,赵公口桥西站,木樨园桥东站,木樨园桥北站,沙子口站,永定门内站,先农坛站,天坛西门站,珠市口南站,前门站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18路,上行,惠新东桥南站,对外经贸大学站,惠新里站,安苑路站,安苑东里站,奥体东门站,安贞里站,安贞桥北站,安外甘水桥站,蒋宅口站,一四二中站,地坛西门站,雍和宫桥东站,北小街豁口站,东直门北站,香河园路西口站,香河园站,左家庄站,三元桥西站,静安庄站,国际展览中心站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18路,下行,国际展览中心站,静安庄站,三元桥西站,左家庄站,香河园站,香河园路西口站,北官厅站,北小街豁口站,雍和宫桥东站,地坛西门站,一四二中站,蒋宅口站,安外甘水桥站,安贞桥北站,安贞里站,奥体东门站,安苑东里站,安苑路站,惠新西街北口站,惠新东桥西站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19路,上行,动物园枢纽站,北京展览馆站,二里沟东口站,三塔寺站,车公庄西站,马尾沟站,阜外医院站,月坛公园站,北京儿童医院西门站,礼士路南口站,真武庙站,西便门外站,天宁寺桥北站,广安门北站,广安门内站,枣林前街站,白纸坊站,南樱桃园路口南站,右安门内站,右安门站,右安门外站,翠林小区站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19路,下行,翠林小区站,右安门外站,右安门站,右安门内站,南樱桃园路口西站,白纸坊站,枣林前街站,白广路北口站,广安门内站,广安门北站,天宁寺桥北站,西便门外站,真武庙站,礼士路南口站,北京儿童医院西门站,月坛公园站,阜成门北站,车公庄西站,三塔寺站,二里沟东口站,北京展览馆站,动物园枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
101路,上行,红庙路口东站,红庙路口西站,小庄路口东站,呼家楼西站,关东店站,东大桥路口西站,神路街站,朝阳门外站,朝阳门内站,朝内小街站,东四路口东站,美术馆东站,沙滩路口西站,故宫站,北海站,西安门站,西四路口东站,白塔寺站,阜成门内站,阜成门站,阜成门外站,展览路站,阜外西口站,甘家口北站,百万庄西口站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
101路,下行,百万庄西口站,百万庄中街站,百万庄东口站,展览路站,阜成门外站,阜成门站,阜成门内站,白塔寺站,西四路口东站,西安门站,北海站,故宫站,沙滩路口西站,美术馆东站,东四路口东站,朝内小街站,朝阳门内站,朝阳门外站,神路街站,东大桥路口东站,关东店站,呼家楼西站,小庄路口东站,红庙路口西站,红庙路口东站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
102路,上行,动物园枢纽站,二里沟站,百万庄站,甘家口大厦站,甘家口东站,阜外西口站,展览路站,阜成门外站,阜成门站,阜成门内站,白塔寺站,西四路口西站,缸瓦市站,甘石桥站,西单商场站,西单路口南站,宣武门内站,校场口站,菜市口北站,果子巷站,虎坊桥路口南站,太平街北口站,太平街站,陶然桥北站,永定门长途汽车站,北京南站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
102路,下行,北京南站,永定门长途汽车站,陶然桥北站,太平街站,虎坊路站,虎坊桥路口西站,果子巷站,菜市口北站,校场口站,宣武门外站,西单路口南站,西单商场站,缸瓦市站,西四路口南站,西四路口东站,白塔寺站,阜成门内站,阜成门站,阜成门外站,展览路站,阜外西口站,甘家口北站,甘家口大厦站,百万庄站,二里沟站,动物园枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
103路,上行,北京站西站,北京站西街西口站,台基厂路口东站,王府井路口北站,新东安市场站,灯市西口站,美术馆站,沙滩路口西站,故宫站,北海站,西安门站,西四路口东站,白塔寺站,阜成门内站,阜成门站,阜成门外站,展览路站,阜外西口站,甘家口北站,甘家口大厦站,百万庄站,二里沟站,动物园枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
103路,下行,动物园枢纽站,二里沟站,百万庄站,甘家口大厦站,甘家口东站,阜外西口站,展览路站,阜成门外站,阜成门站,阜成门内站,白塔寺站,西四路口东站,西安门站,北海站,故宫站,沙滩路口西站,美术馆站,灯市西口站,新东安市场站,王府井路口北站,台基厂路口东站,崇文门西站,北京站西站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
104路,上行,北京站西站,北京站西街西口站,台基厂路口东站,王府井路口北站,新东安市场站,灯市西口站,美术馆北站,大佛寺站,宽街路口南站,北兵马司站,交道口南站,方家胡同站,安定门内站,地坛西门站,和平里北街西口站,兴化路站,和平里北街站,和平里路口西站,地铁柳芳站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
104路,下行,地铁柳芳站,柳芳北街站,国际展览中心站,静安庄站,静安里站,柳芳东口站,柳芳西口站,西坝河南路站,地铁柳芳站,和平里路口西站,和平里北街站,兴化路站,和平里北街西口站,地坛西门站,安定门内站,方家胡同站,交道口南站,北兵马司站,宽街路口南站,大佛寺站,美术馆北站,灯市西口站,新东安市场站,王府井路口北站,台基厂路口东站,崇文门西站,北京站西站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
105路,上行,白石桥东站,动物园站,西直门外站,西直门内站,新开胡同站,新街口西站,平安里路口南站,大红罗厂西口站,西四路口北站,缸瓦市站,甘石桥站,西单商场站,西单路口南站,宣武门内站,校场口站,菜市口北站,果子巷站,虎坊桥路口南站,永安路站,友谊医院东站,天桥站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
