,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
377路,下行,西红门西站,郁花园二里站,郁花园一里站,西红门南站,西红门北站,九龙山庄站,新发地桥北站,世界花卉大观园站,恋日家园站,公益西桥北站,地铁公益西桥站,城南嘉园站,城南嘉园北站,嘉园三里站,嘉园三里北站,嘉园二里西门站,嘉园一里站,翠林小区站,右安门外站,右安门站,右安门东站,开阳桥东站,永定门长途汽车站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
378路,上行,老君堂北站,老君堂南站,横街子站,十八里店站,十八里店乡政府站,周家庄站,十里河居然之家站,十里河桥东站,十里河桥北站,潘家园桥北站,华威路北口站,华威西里站,左安路站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
378路,下行,左安路站,华威西里站,华威路北口站,潘家园桥北站,潘家园桥站,十里河桥北站,十里河桥东站,十里河居然之家站,周家庄站,十八里店乡政府站,十八里店站,横街子站,老君堂南站,老君堂北站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
379路,上行,左家庄站,三元桥西站,静安庄站,西坝河站,太阳宫桥站,和平东桥北站,中日医院站,对外经贸大学站,惠新东桥南站,惠新东桥西站,安慧桥东站,安慧桥北站,炎黄艺术馆站,大屯南站,豹房站,豹房西站,洼里南口站,中科院地理所站,南沟泥河站,奥运村西站,林萃路口北站,澳林春天小区站,倚林佳园南门站,京师园北门站,地铁林萃桥站,龙岗路东口站,宝盛里小区站,宝盛西里站,永泰庄东里站,地铁永泰庄站,后屯南路站,地铁西小口站,后屯路站,育新小区东门站,后屯路北口站,地铁育新站,育新小区站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
379路,下行,育新小区站,地铁育新站,后屯路北口站,育新小区东门站,后屯路站,地铁西小口站,后屯南路站,地铁永泰庄站,永泰庄东里站,宝盛西里站,宝盛里小区站,宝盛路口南站,龙岗路东口站,地铁林萃桥站,京师园北门站,倚林佳园东门站,澳林春天小区站,林萃路口北站,奥运村西站,南沟泥河站,中科院地理所站,洼里南口站,豹房西站,豹房站,大屯南站,炎黄艺术馆站,安慧桥北站,安慧桥东站,惠新东桥西站,惠新东桥南站,对外经贸大学站,中日医院站,太阳宫桥站,西坝河站,静安庄站,三元桥西站,左家庄站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
380路,上行,慧忠里站,炎黄艺术馆站,安慧桥北站,奥体东门站,地铁安贞门站,安贞医院北站,安贞西里站,安华桥南站,鼓楼外大街北站,鼓楼外大街南站,钟楼北桥北站,六铺炕站,后九条站,安德路西口站,德胜门站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
380路,下行,德胜门站,安德路西口站,后九条站,六铺炕站,钟楼北桥北站,鼓楼外大街南站,鼓楼外大街北站,安华桥南站,安贞西里站,安贞医院北站,地铁安贞门站,奥体东门站,安慧桥北站,炎黄艺术馆站,慧忠里站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
381路,上行,西红门公交场站,宏康路西口站,地铁西红门站,宏福路站,兴海公园站,兴海学校站,兴海家园站,宏盛家园站,兴都苑小区站,欣旺北大街站,新发地桥北站,马家楼桥北站,玉泉营桥北站,菜户营桥东站,白纸坊桥北站,椿树馆街站,广安门南站,广安门内站,牛街路口西站,菜市口西站,南横街路口北站,自新路口北站,开阳桥北站,北京南站,永定门长途汽车站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
381路,下行,永定门长途汽车站,北京南站,开阳桥北站,自新路口北站,南横街路口北站,菜市口西站,牛街路口西站,广安门内站,广安门南站,椿树馆街站,白纸坊桥北站,菜户营桥北站,玉泉营桥北站,玉泉营桥南站,马家楼桥北站,新发地桥北站,九龙山庄站,欣旺北大街站,兴都苑小区站,宏盛家园站,兴海家园站,兴海学校站,兴海公园站,宏福路站,地铁西红门站,宏康路西口站,西红门公交场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
383路,上行,大峪站,新桥大街站,城子大街南口站,城子站,城子职高站,三家店西口站,龙泉宾馆站,三家店中街站,三家店后街站,曹家沟南站,曹家沟站,军庄站,灰峪村站,杨坨站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
383路,下行,杨坨站,灰峪村站,军庄站,曹家沟站,曹家沟南站,三家店后街站,三家店中街站,龙泉宾馆站,三家店西口站,城子职高站,城子站,城子大街南口站,新桥大街站,大峪站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
384路,上行,中关村一街站,中关村西站,海淀公园站,西苑医院站,西苑北站,坡上村站,地铁北宫门站,国防大学站,黑山扈站,百望山森林公园站,西北旺站,百旺新城站,赵庄村站,丰滢路口北站,永丰路口南站,永丰产业基地站,辛店站,航天城北站,小牛坊站,皇后店南路站,丰润东路东口站,丰润东路站,大牛坊站,皇后店西站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
384路,下行,皇后店西站,大牛坊站,丰润东路站,丰润东路东口站,皇后店南路站,小牛坊站,航天城北站,辛店站,永丰产业基地站,永丰路口南站,丰滢路口南站,赵庄村站,百旺新城站,西北旺站,百望山森林公园站,黑山扈站,国防大学站,地铁北宫门站,坡上村站,西苑站,西苑医院站,海淀公园站,中关村东站,中关村一街站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
384路区间,上行,中关村二桥南站,中关村南路站,中关村西站,海淀公园站,西苑医院站,西苑北站,坡上村站,地铁北宫门站,国防大学站,黑山扈站,百望山森林公园站,西北旺站,百旺新城站,赵庄村站,丰滢路口北站,永丰路口南站,永丰产业基地站,辛店站,航天城北站,小牛坊站,皇后店东站,东玉河站,皇后店北站,西玉河站,大牛坊北站,大牛坊站,皇后店西站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
384路区间,下行,皇后店西站,大牛坊站,大牛坊北站,西玉河站,皇后店北站,东玉河站,皇后店东站,小牛坊站,航天城北站,辛店站,永丰产业基地站,永丰路口南站,丰滢路口南站,赵庄村站,百旺新城站,西北旺站,百望山森林公园站,黑山扈站,国防大学站,地铁北宫门站,坡上村站,西苑站,西苑医院站,海淀公园站,中关村东站,中关村一街站,中关村二桥南站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
385路,上行,大灰厂站,丰台区李家坟站,大灰厂村站,北宫森林公园站,丰台区辛庄站,辛庄东站,南营站,八一射击场站,芦井村站,芦井站,芦井北站,漫水桥站,燕山水泥厂站,河堤站,石景山水屯站,衙门口村站,衙门口桥北站,衙门口西站,体育场南路东口站,体育场南路西口站,八角站,石景山古城站,老古城站,首钢厂东门站,田顺庄站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
385路,下行,田顺庄站,首钢厂东门站,老古城站,石景山古城站,八角站,体育场南路西口站,体育场南路东口站,衙门口西站,衙门口桥北站,衙门口村站,石景山水屯站,河堤站,燕山水泥厂站,漫水桥站,芦井北站,芦井站,芦井村站,八一射击场站,南营站,辛庄东站,丰台区辛庄站,北宫森林公园站,大灰厂村站,丰台区李家坟站,大灰厂站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
386路,上行,巴沟村站,海淀南路西口站,海淀南路站,海淀黄庄东站,知春里站,知春里东站,知春路站,学知桥北站,北京航空航天大学站,学院桥东站,志新桥西站,健翔桥西站,健翔桥东站,北辰桥西站,亚运村站,安慧桥东站,惠新东桥北站,育慧北里站,世纪村站,育慧东路站,姜庄湖站,关庄路东口站,黄草湾站,顾家庄桥南站,顾家庄桥北站,红军营南路东口站,清河营南一街东口站,清河营中街东口站,水岸南街东口站,水岸中街东口站,清河营公交场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
386路,下行,清河营公交场站,水岸中街东口站,水岸南街东口站,清河营中街东口站,清河营南一街东口站,红军营南路东口站,顾家庄桥北站,顾家庄桥南站,黄草湾站,关庄路东口站,姜庄湖站,育慧东路站,世纪村站,育慧北里站,惠新东桥西站,安慧桥东站,亚运村站,北辰桥西站,健翔桥东站,健翔桥西站,志新桥西站,学院桥东站,北京航空航天大学站,学知桥西站,知春路站,知春里东站,知春里站,海淀黄庄西站,海淀南路站,海淀南路西口站,巴沟村站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
387路,上行,北京西站,复兴门南站,北京儿童医院站,阜成门北站,西直门南站,索家坟站,文慧桥北站,明光桥北站,蓟门桥东站,北太平桥西站,马甸桥东站,安华桥西站,安贞桥西站,安贞桥北站,奥体东门站,安慧桥北站,炎黄艺术馆站,秀园站,慧忠路东口站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
387路,下行,慧忠路东口站,秀园站,炎黄艺术馆站,安慧桥北站,奥体东门站,安贞里站,安贞桥西站,安华桥西站,马甸桥东站,北太平桥西站,蓟门桥南站,明光桥南站,文慧桥南站,索家坟站,西直门南站,阜成门北站,北京儿童医院站,复兴门南站,北京西站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
389路,上行,八大处站,八大处南站,杏石口站,西下庄南站,西黄村北站,西黄村西口站,西黄村站,廖公庄西站,廖公庄站,廖公庄东站,什坊院站,田村西口站,田村中街站,畅茜园小区站,阜玉路口北站,黄家坟站,玉海园站,航天部医院站,正大路西口站,玉泉路口北站,玉泉路口南站,鲁谷路东口站,十院站,鲁谷公交场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
389路,下行,鲁谷公交场站,十院站,鲁谷路东口站,玉泉路口南站,玉泉路口北站,正大路西口站,航天部医院站,玉海园站,黄家坟站,阜玉路口北站,畅茜园小区站,田村中街站,田村西口站,什坊院站,廖公庄东站,廖公庄站,廖公庄西站,西黄村站,西黄村西口站,西黄村北站,西下庄南站,西下庄北站,杏石口站,八大处南站,八大处站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
390路,上行,西便门站,天宁寺桥北站,广安门北站,达官营站,湾子站,六里桥东站,岳各庄桥北站,丰台路口西站,大井站,程庄路北口站,程庄路站,程庄路南口站,南五里店站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
390路,下行,南五里店站,程庄路南口站,程庄路站,程庄路北口站,大井站,丰台路口西站,岳各庄桥东站,六里桥东站,湾子站,达官营站,广安门北站,西便门站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
391路,上行,稻田村南口站,马厂村站,西营站,北京农业职业学院站,稻田村南站,稻田村站,稻田一村站,地铁稻田站西站,大宁山庄站,北京十中站,长辛店南口站,长辛店北口站,杜家坎南站,地铁园博园站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
391路,下行,地铁园博园站,杜家坎南站,长辛店北口站,长辛店南口站,北京十中站,大宁山庄站,地铁稻田站西站,稻田一村站,稻田村站,稻田村南站,北京农业职业学院站,西营站,马厂村站,稻田村南口站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
392路,上行,西二旗北站,西二旗站,安宁庄北路站,安宁里站,安宁里南站,安宁庄东路南口站,清河小营桥西站,清河小营桥南站,清河站,马家沟站,学知园站,石板房站,静淑苑站,学院路北口站,成府路口南站,北京航空航天大学站,学知桥南站,蓟门桥北站,蓟门桥南站,明光桥南站,文慧桥南站,索家坟站,西直门南站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
392路,下行,车公庄北站,索家坟站,文慧桥北站,明光桥北站,蓟门桥站,蓟门桥北站,学知桥北站,北京航空航天大学站,成府路口南站,学院路北口站,静淑苑站,石板房站,学知园站,马家沟站,清河南镇站,清河北站,清河小营桥南站,清河小营桥西站,安宁庄东路南口站,安宁里南站,安宁里站,安宁庄北路站,西二旗站,西二旗北站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
393路,上行,西苑枢纽站,骚子营站,小清河站,肖家河站,农大南路西口站,厢黄旗站,树村站,树村东口站,上地南口站,上地西里站,上地三街东口站,上地桥东站,清河大楼站,安宁庄东路南口站,安宁里南站,安宁里站,西三旗桥西站,西三旗桥东站,邮政研究院站,育新小区北口站,育新小区站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
393路,下行,育新小区站,育新小区北口站,邮政研究院站,西三旗桥东站,西三旗桥西站,安宁里站,安宁里南站,安宁庄东路南口站,清河大楼站,上地桥东站,上地三街东口站,上地西里站,上地南口站,树村东口站,树村站,厢黄旗站,农大南路西口站,肖家河站,小清河站,骚子营站,西苑枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
395路,上行,复兴门南站,新文化街西口站,长椿街路口西站,西便门站,槐柏树街西口站,核桃园站,北线阁站,南线阁站,枣林前街西口站,建功北里站,白纸坊路口西站,南樱桃园路口南站,右安门内站,右安门西站,菜户营桥西站,中国戏曲学院站,三路居站,丽泽桥东站,丰益桥西站,西管头站,前泥洼站,游泳场北路东口站,东大街南口站,丰台火车站,正阳桥东站,看丹桥站,富丰桥西站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
395路,下行,富丰桥西站,看丹桥站,正阳桥东站,丰台火车站,东大街南口站,游泳场北路东口站,前泥洼站,西管头站,丰益桥西站,丰益桥北站,丽泽桥南站,丽泽桥东站,中国戏曲学院站,菜户营桥西站,右安门西站,右安门内站,南樱桃园路口西站,白纸坊路口西站,建功北里站,枣林前街西口站,南线阁站,北线阁站,核桃园站,槐柏树街西口站,西便门站,复兴门南站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
396路,上行,隆恩寺站,隆恩寺路站,石景山南宫站,五里坨站,黑石头站,石景山高井站,高井路口西站,模式口西里站,首钢小区站,金安桥北站,金顶南路站,地铁苹果园站,苹果园西站,苹果园中学站,苹果园南路东口站,黄南苑小区站,晋元桥站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
396路,下行,晋元桥站,黄南苑小区站,苹果园南路东口站,苹果园中学站,苹果园东站,地铁苹果园站,金顶南路站,金安桥北站,首钢小区站,模式口西里站,高井路口西站,石景山高井站,黑石头站,五里坨站,石景山南宫站,隆恩寺路站,隆恩寺站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
397路,上行,大鲁店公交场站,大鲁店站,小鲁店南站,小鲁店站,黑庄户站,万子营站,双树村站,苏家屯站,双树村北站,双桥农场站,双桥中路站,双桥中学站,咸宁侯东站,咸宁侯站,东柳站,双桥南站,双桥西站,茶家坟站,梆子井站,高碑店桥东站,四惠东站,四惠枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
397路,下行,四惠枢纽站,高碑店桥东站,梆子井站,茶家坟站,双桥西站,双桥南站,东柳站,咸宁侯站,咸宁侯东站,双桥中学站,双桥中路站,双桥农场站,双树村北站,苏家屯站,双树村站,万子营站,黑庄户站,小鲁店站,小鲁店南站,大鲁店站,大鲁店公交场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
398路,上行,育新小区站,育新小区北口站,邮政研究院站,西三旗桥东站,清河小营桥南站,清河站,马家沟站,学知园站,石板房站,静淑苑站,学院路北口站,北京语言大学站,地铁五道口站,五道口公交场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
398路,下行,五道口公交场站,地铁五道口站,北京语言大学站,学院路北口站,静淑苑站,石板房站,学知园站,马家沟站,清河北站,清河小营桥南站,西三旗桥东站,邮政研究院站,育新小区北口站,育新小区站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
399路,上行,石景山科技园站,实兴大街站,西井站,苹果园南路东口站,黄南苑小区站,杨庄路东口站,杨庄小区站,八角西街北口站,石景山科技馆站,八角西街站,八角站,石景山古城站,古城大院站,古城剧场站,杨庄路西口站,杨庄西站,金顶街三区站,地铁苹果园站北门站,苹果园七区站,苹果园小区站,西井路西口站,石景山科技园站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
399路,下行,石景山科技园站,西井路西口站,苹果园小区站,苹果园七区站,地铁苹果园站北门站,金顶街三区站,金顶南路站,杨庄西站,杨庄路西口站,古城剧场站,古城大院站,石景山古城站,八角站,八角西街站,石景山科技馆站,八角西街北口站,杨庄小区站,杨庄路东口站,黄南苑小区站,苹果园南路东口站,西井站,实兴大街站,石景山科技园站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40路,上行,木樨园桥北站,木樨园桥西站,洋桥北站,四路通站,陶然桥北站,太平街站,陶然亭公园北门站,自新路口东站,半步桥站,南樱桃园路口西站,白纸坊站,枣林前街站,白广路北口站,广安门内站,广安门北站,天宁寺桥西站,小马厂站,北京西站,皇亭子站,公主坟东站,八一湖站,航天桥南站,航天桥西站,西钓鱼台站,慈寿寺桥站,五路(北行)站,善家坟(北行)站,车道沟桥(北行)站,车道沟桥(南行)站,善家坟(南行)站,五路站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40路,下行,五路站,慈寿寺桥站,西钓鱼台站,航天桥西站,航天桥南站,八一湖站,公主坟北站,北京西站,小马厂站,天宁寺桥西站,广安门北站,广安门内站,枣林前街站,白纸坊站,南樱桃园路口西站,半步桥站,自新路口东站,陶然亭公园北门站,太平街站,陶然桥北站,陶然桥东站,沙子口站,木樨园桥北站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41路,上行,北京华侨城站,厚俸桥南站,紫南家园站,紫南家园北站,窑洼湖桥东站,平乐园小区站,平乐园站,南磨房站,劲松桥东站,劲松中街站,光明桥东站,光明楼站,北京体育馆站,北京体育馆西站,法华寺站,磁器口北站,崇文门西站,台基厂路口东站,正义路南口站,王府井站,东单路口南站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41路,下行,东单路口南站,崇文门内站,磁器口北站,法华寺站,北京体育馆西站,北京体育馆站,光明楼站,光明桥东站,劲松中街站,劲松桥东站,南磨房站,平乐园站,平乐园小区站,窑洼湖桥东站,紫南家园北站,紫南家园站,厚俸桥南站,北京华侨城站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42路,上行,东四十条桥站,东四十条站,张自忠路站,宽街路口东站,锣鼓巷站,地安门东站,北海北门站,东官房站,厂桥路口东站,平安里路口南站,大红罗厂西口站,西四路口北站,白塔寺站,阜成门内站,南礼士路北口站,月坛公园站,北京儿童医院西门站,礼士路南口站,真武庙站,天宁寺桥北站,广安门北站,广外关厢站,达官营站,广外甘石桥站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42路,下行,广外甘石桥站,达官营站,广外关厢站,广安门北站,天宁寺桥东站,真武庙站,礼士路南口站,北京儿童医院西门站,月坛公园站,阜成门站,阜成门内站,白塔寺站,西四路口西站,北京四中站,厂桥路口东站,东官房站,北海北门站,地安门东站,锣鼓巷站,宽街路口东站,张自忠路站,东四十条站,东四十条桥西站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43路,上行,团结湖站,白家庄北站,中纺街站,朝阳医院站,东大桥路口北站,芳草地站,芳草地南站,永安里路口西站,日坛路站,建国门南站,东便门站,崇文门东站,花市路口南站,磁器口南站,法华寺站,东侧路站,蒲黄榆站,刘家窑桥北站,横七条站,五间楼站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43路,下行,五间楼站,贾家花园站,赵公口桥南站,刘家窑桥西站,刘家窑桥北站,蒲黄榆站,东侧路站,法华寺站,磁器口南站,花市路口南站,崇文门东站,东便门站,建国门南站,日坛路站,永安里路口北站,芳草地南站,芳草地站,东大桥路口北站,朝阳医院站,中纺街站,白家庄东站,团结湖路站,团结湖站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44路,上行,北官厅站,东直门北站,东四十条桥南站,朝阳门南站,雅宝路站,建国门南站,东便门站,崇文门西站,台基厂路口西站,前门东站,前门西站,和平门东站,宣武门东站,长椿街路口西站,复兴门南站,北京儿童医院站,阜成门北站,西直门南站,玉桃园站,新街口豁口站,德胜门西站,鼓楼桥西站,安定门西站,雍和宫桥东站,北官厅站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44路,下行,广安胡同北口环行站,宣武门东站,和平门东站,前门西站,前门东站,台基厂路口西站,崇文门西站,崇文门东站,东便门站,建国门南站,雅宝路站,朝阳门南站,东四十条桥南站,东直门北站,雍和宫桥东站,安定门西站,鼓楼桥西站,德胜门站,德胜门西站,新街口豁口站,玉桃园站,西直门南站,阜成门北站,北京儿童医院站,复兴门南站,长椿街路口西站,广安胡同北口环行站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45路,上行,动物园枢纽站,北京展览馆站,二里沟东口站,百万庄东口站,展览路口北站,月坛北街北站,国家工商总局站,三里河东路南口站,白云路站,白云观站,小马厂站,湾子站,达官营站,手帕口南街站,广安门货站,广安门车站西街站,小红庙北站,莲花晴园站,红莲南里站,红莲南路站,红莲南路西口站,高楼村站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45路,下行,高楼村站,红莲南路西口站,红莲南路站,红莲南里站,莲花晴园站,小红庙北站,广安门车站西街站,广安门货站,手帕口南街站,达官营站,湾子站,小马厂站,白云观站,白云路站,三里河东路南口站,国家工商总局站,月坛北街北站,展览路口南站,百万庄东口站,二里沟东口站,北京展览馆站,动物园枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46路,上行,高楼村站,马连道南口站,马连道胡同站,马连道西里站,湾子路口南站,湾子站,广外甘石桥站,达官营站,广外关厢站,广安门北站,天宁寺桥东站,西便门外站,真武庙站,礼士路南口站,北京儿童医院西门站,辟才胡同西口站,辟才胡同东口站,西单商场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46路,下行,西单商场站,教育部站,辟才胡同西口站,北京儿童医院西门站,礼士路南口站,真武庙站,西便门外站,天宁寺桥北站,广安门北站,广外关厢站,达官营站,广外甘石桥站,湾子路口南站,马连道西里站,马连道胡同站,马连道南口站,高楼村站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47路,上行,小马厂站,小马厂(东行)站,白云桥西站,天宁寺桥西站,长椿街路口北站,新文化街西口站,太平桥站,辟才胡同站,丰盛胡同站,白塔寺站,报子胡同站,祖家街站,宝产胡同站,地铁新街口站,新街口北站,积水潭桥南站,小西天站,北京师范大学站,铁狮子坟站,北太平桥北站,牡丹园站,牡丹园北站,塔院站,花园路北口站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47路,下行,花园路北口站,志新桥西站,志新桥南站,牡丹园北站,牡丹园站,北太平桥南站,铁狮子坟站,北京师范大学站,小西天站,积水潭桥南站,新街口北站,地铁新街口站,宝产胡同站,祖家街站,报子胡同站,白塔寺站,丰盛胡同站,辟才胡同站,太平桥站,新文化街西口站,长椿街路口西站,天宁寺桥西站,白云桥西站,小马厂站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48路,上行,城南嘉园北站,嘉园三里站,嘉园三里北站,嘉园二里西门站,嘉园一里站,翠林小区站,右安门外站,右安门站,右安门内站,南樱桃园路口北站,牛街南口站,牛街礼拜寺站,牛街站,菜市口西站,果子巷站,虎坊桥路口西站,虎坊桥路口东站,板章路站,大栅栏站,前门站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
